name,value
100NS,35961
100NX,474
120Y Sunny,475
140J Violet,476
140Y Sunny,477
160B Bluebird,478
160J Violet,479
180B Bluebird,480
200,481
200 SX,1494
240K Skyline,482
280C,483
280ZX,484
300,485
300ZX,29432
350Z,486
370Z,24931
70,30789
Almera,487
Almera Classic,3104
Almera Tino,488
Altima,1495
Armada,2481
Arna,42682
Auster,33636
Avenir,2868
Bassara,31812
Bluebird,489
Caravan,47955
Cedric,2928
Cefiro,2320
Cherry,490
Cima,2329
Cube,41512
Datsun,24948
Datsun MI-DO,45280
Datsun on-DO,45278
e-NV200,45255
Elgrand,3150
Frontier,2612
Fuga,46893
Gazelle,34847
Gloria,2985
GT-R,2651
Homy,37032
Interstar,2076
Juke,24932
Juke Nismo,60124
Juke Nismo RS,47622
Kicks,54621
King Cab,31502
Kubistar,2691
L35,2671
Langley,3365
Largo,36420
Laurel,491
Leaf,36565
Leopard,3447
Liberta Villa,18496
Liberty,48212
Maxima,492
Maxima QX,493
Micra,494
Murano,1730
Navara,2472
Note,1975
NP300,2798
NV,36630
NV200,54339
NV300,54340
NV400,54341
NV400 груз.,53195
Paladin,3372
Pathfinder,1835
Patrol,495
Patrol GR,496
Pickup,30337
Pixo,33504
Prairie,497
Presage,38092
Presea,3366
Primastar,59690
Primastar груз.,31526
Primastar груз.-пасс.,59048
Primastar пасс.,2006
Primera,498
Pulsar,2954
Qashqai,2197
Qashqai+2,2774
Quest,3266
QX,499
R'nessa,3722
Rogue,2228
Safari,50733
Sentra,2689
Serena груз.,31525
Serena пасс.,500
Silvia,501
Sima,31596
Skyline,502
Stagea,33480
Stanza,503
Sunny,504
Teana,2034
Terra,56868
Terrano,505
Terrano II,506
TIIDA,2775
Tino,31230
Titan,2937
Trade,2361
Urvan,2662
Vanette груз.,31524
Vanette груз.-пасс.,56205
Vanette пасс.,1737
Vehiculos,28393
Versa,2979
Wingroad,40042
X-Terra,1836
X-Trail,507
